Text,Link,Date
"Bangladeshis blame India for massive flooding, government states the fact",https://www.indiatoday.in/india/story/india-clarifies-massive-flooding-bangladesh-dismisses-blame-game-dumbur-dam-gumti-river-tripura-flood-heavy-rainfall-2586432-2024-08-22,2024-08-22
Video: Flash flood engulfs farm in Tripura as four rivers overflow,https://www.indiatoday.in/india/video/tripura-farm-flood-rivers-overflow-2585880-2024-08-21,2024-08-21
"Video: Pune train station flooded after heavy rain, streets and homes inundated",https://www.indiatoday.in/india/video/video-heavy-rain-lashes-pune-roads-waterlogged-homes-flooded-2584360-2024-08-19,2024-08-19
"Yamuna water level rising, preparations on to deal with floods: Delhi Minister",https://www.indiatoday.in/cities/delhi/story/yamuna-water-level-rising-delhi-floods-rains-aap-saurabh-bhardwaj-2581753-2024-08-13,2024-08-13
"Mecca-like gates, flood jihad, says Himanta. Why university is in eye of storm",https://www.indiatoday.in/india/story/mecca-gates-flood-jihad-ustm-university-university-meghalaya-assam-flash-floods-cm-himanta-biswa-sarma-2581455-2024-08-13,2024-08-13
"Swollen rivers, breached embankments: Satellite captures flood situation in North India",https://www.indiatoday.in/india/story/satellite-captures-flood-situation-in-north-india-2581588-2024-08-13,2024-08-13
How Wayanad put a number on list of people missing after landslide tragedy,https://www.indiatoday.in/india-today-insight/story/how-wayanad-put-a-number-on-list-of-people-missing-after-landslide-tragedy-2581568-2024-08-13,2024-08-13
Heavy rain causes flood-like situation in Rajasthan's Hindaun,https://www.indiatoday.in/india/story/heavy-rain-flood-like-situation-rajasthans-hindaun-2581268-2024-08-13,2024-08-13
How Wayanad was turned into the land of disasters,https://www.indiatoday.in/india-today-insight/story/how-wayanad-was-turned-into-the-land-of-disasters-2581009-2024-08-12,2024-08-12
"9 dead, 2 missing after car swept away in flooded rivulet in Punjab",https://www.indiatoday.in/india/story/punjab-8-of-family-driver-die-after-car-swept-away-in-swollen-rivulet-2580669-2024-08-11,2024-08-11
How deforestation in the Northeast plays a role in Assam's excessive flooding,https://www.indiatoday.in/environment/story/how-deforestation-in-the-northeast-plays-a-role-in-assams-excessive-flooding-2579824-2024-08-09,2024-08-09
Video: Flash floods in China turn parking area into graveyard of cars,https://www.indiatoday.in/world/video/video-flash-floods-in-china-turn-parking-area-into-graveyard-of-cars-2579859-2024-08-09,2024-08-09
Fake 'cash prize’ promises flood internet ahead of Neeraj Chopra's Olympic final,https://www.indiatoday.in/india/story/neeraj-chopra-olympics-javelin-throw-prize-money-crowdfunding-rishabh-pant-2578622-2024-08-07,2024-08-07
