Text,Link
"Earthquake Of Magnitude 7.1 Hits Japan, Tsunami Warning Issued",https://www.timesnownews.com/world/asia/earthquake-of-magnitude-7-1-hits-japan-tsunami-warning-issued-article-112370261
"Two Back-To-Back Earthquakes Hit Haryana's Faridabad, Tremors Felt Across Delhi",https://www.timesnownews.com/india/breaking-news-earthquake-hits-faridabad-haryana-article-112005625
Is Jammu & Kashmir Prone To Major Earthquakes? Explained,https://www.timesnownews.com/india/is-jammu-kashmir-prone-to-major-earthquakes-explained-article-111682774
Earthquake Of Magnitude 3.4 Hits Manipur,https://www.timesnownews.com/india/breaking-news-earthquake-of-magnitude-3-4-hits-manipur-article-110943169
Earthquake Of Magnitude 3.9 Hits Sonbhadra District In Uttar Pradesh,https://www.timesnownews.com/india/earthquake-of-magnitude-3-9-hits-sonbhadra-district-in-uttar-pradesh-article-110640667
Delhi's Humayun’s Tomb Is Now Home To India's First ‘Sunken Museum’,https://www.timesnownews.com/travel/destinations/delhis-humayuns-tomb-is-now-home-to-indias-first-sunken-museum-article-112127879
"Sikar Earthquake: 3.9 Magnitude Quake Strikes Rajasthan, Tremors In Jaipur",https://www.timesnownews.com/india/sikar-earthquake-3-9-magnitude-quake-strikes-rajasthan-tremors-in-jaipur-article-110825993
Gujarat's Smritivan Earthquake Memorial Museum Shortlisted For UNESCO's Prestigious Award,https://www.timesnownews.com/travel/news/gujarats-smritivan-earthquake-memorial-museum-shortlisted-for-unescos-prestigious-award-article-111051042
Earthquake News: Quake Of 3.0 Magnitude Hits Uttarakhand,https://www.timesnownews.com/india/breaking-news-earthquake-news-quake-of-3-0-magnitude-hits-uttarakhand-article-109328764
How To Stay Safe During An Earthquake: Dos and Don’ts,https://www.timesnownews.com/health/how-to-stay-safe-during-an-earthquake-dos-and-donts-article-109081367
India Issues Advisory For Indian Nationals In Taiwan After 7.5 Magnitude Earthquake,https://www.timesnownews.com/india/india-issues-advisory-for-indian-nationals-in-taiwan-after-7-5-magnitude-earthquake-article-108990843
BREAKING NEWS: Earthquake Of Magnitude 3 Hits Manipur,https://www.timesnownews.com/india/breaking-news-earthquake-of-magnitude-3-hits-manipur-article-108634884
Earthquake Of Magnitude 3.1 Hits Madhya Pradesh's Singrauli,https://www.timesnownews.com/india/earthquake-of-magnitude-3-1-hits-madhya-pradeshs-singrauli-article-108523380
Earthquake Of 3.2-Magnitude Hits Haryana's Sirsa,https://www.timesnownews.com/india/earthquake-of-3-2-magnitude-hits-haryanas-sirsa-article-109598557
"Japan Earthquake: Magnitude 6.3 Quake Strikes Shikoku Island, No Tsunami Threat",https://www.timesnownews.com/world/asia/japan-earthquake-today-magnitude-6-4-quake-strikes-shikoku-island-no-tsunami-threat-article-109379231
Earthquake Of Magnitude 3.4 Hits Ladakh's Kargil,https://www.timesnownews.com/india/breaking-news-earthquake-of-magnitude-3-4-hits-ladakh-kargil-article-109094479
'All Indians Safe': MEA After 7.4 Earthquake Rattles Taiwan,https://www.timesnownews.com/india/all-indians-safe-mea-after-7-4-earthquake-rattles-taiwan-article-109033001
"Earthquake Of Magnitude 4.4 Hits Myanmar, Tremors Felt In Northeast India",https://www.timesnownews.com/world/breaking-news-earthquake-of-magnitude-4-4-hits-myanmar-tremors-felt-in-northeast-india-article-107770072
Earthquake Of 5.3-Magnitude Hits Himachal Pradesh's Chamba,https://www.timesnownews.com/india/breaking-news-earthquake-of-5-3-magnitude-hits-himachal-pradeshs-chamba-article-109044429
Assembly Elections 2024 Date Live Updates: J&K To Vote In 3 Phases Starting Sept 18; Counting On Oct 4,https://www.timesnownews.com/india/breaking-news-live-updates-track-latest-news-from-india-world-business-tech-sports-16-august-2024-liveblog-112554425
