Headline,Content,Date,Link
"Two Days After 'Doomsday Fish' Appears In California, Earthquake Hits Los Angeles",This rare deep-sea fish was discovered just before a 4.4-magnitude earthquake struck Los Angeles. It was transported to NOAA for examination.,"August 24, 2024",https://www.ndtv.com/science/two-days-after-doomsday-fish-appears-in-california-earthquake-hits-los-angeles-6409382
Back-To-Back Earthquakes Of 4.9 Magnitude Hit Kashmir's Baramulla,"Two back-to-back earthquakes measuring 4.9 and 4.8 on the Richter scale occurred in the Kashmir Valley on Tuesday. However, no loss of life or damage to property has been so far reported from anywhere.","August 20, 2024",https://www.ndtv.com/india-news/back-to-back-earthquakes-of-4-9-magnitude-hit-kashmirs-baramulla-6374837
"5.1 Magnitude Earthquake Strikes Off Japan, Tremors Felt In Central Tokyo","An earthquake with a preliminary magnitude of 5.1 struck off the Japanese prefecture of Ibaraki, just northeast of Tokyo, the country's weather agency said.","August 19, 2024",https://www.ndtv.com/world-news/5-1-magnitude-earthquake-strikes-off-japan-tremors-felt-in-central-tokyo-6366679
Shiveluch Volcano Erupts In Russia After 7.0 Magnitude Earthquake,"Russia's Shiveluch volcano in the Kamchatka region erupted after a 7.0 magnitude earthquake that struck off the eastern coast of the country, local media reported on Sunday.","August 18, 2024",https://www.ndtv.com/world-news/shiveluch-volcano-erupts-in-russia-after-7-0-magnitude-earthquake-6362122
"7.0 Magnitude Earthquake Strikes Off Russia, Several Aftershocks Recorded","A magnitude 7.0 earthquake struck off the coast of Russia's far-eastern Kamchatka Peninsula early Sunday morning local time, according to the regional earthquake monitoring service.","August 18, 2024",https://www.ndtv.com/world-news/7-magnitude-earthquake-strikes-off-russia-tsunami-warning-issued-us-monitors-6360655
6.3 Magnitude Earthquake Hits Taiwan: Weather Agency,"A 6.3 magnitude earthquake struck 34 km (21.13 miles) off Taiwan's eastern city of Hualien on Friday, the island's weather administration said, with no immediate reports of damage.","August 16, 2024",https://www.ndtv.com/world-news/6-3-magnitude-earthquake-hits-taiwan-weather-agency-6347168
"""Building Was Swaying"": Taiwan Hit By 5.4 Magnitude Earthquake","A 5.4 magnitude earthquake hit northeastern Taiwan on Thursday, the US Geological Survey (USGS) said, with the tremor shaking buildings in Taipei but causing no major damage.","August 15, 2024",https://www.ndtv.com/world-news/building-was-swaying-taiwan-hit-by-5-4-magnitude-earthquake-6343730
"Japan Lifts Megaquake Warning, Says Citizens Can Return To Normal Life","Japan on Thursday ended its call for higher-than-usual risks of a major earthquake, one week after a strong tremor on the edge of the Nankai Trough seabed zone caused the government to issue its first-ever megaquake advisory.","August 15, 2024",https://www.ndtv.com/world-news/japan-lifts-megaquake-warning-says-citizens-can-return-to-normal-life-6343197
"Japan Megaquake Alert Triggers Mass Hotel Cancellations, Disrupts Tourism","Japan's unprecedented megaquake advisory has prompted thousands of hotel cancellations in areas flagged as high-risk, dealing businesses a heavy blow in what would have been one of the busiest seasons, hoteliers said Tuesday.","August 13, 2024",https://www.ndtv.com/world-news/japan-megaquake-alert-triggers-mass-hotel-cancellations-disrupts-tourism-6329043
5.5 Magnitude Earthquake Hits Syria,"A magnitude 5.5 earthquake struck 28 km east of the central city of Hama, according to the Syrian National Earthquake Centre.","August 13, 2024",https://www.ndtv.com/world-news/5-5-magnitude-earthquake-hits-syria-6324866
Japanese Urged To Avoid Panic Buying After Megaquake Fear Spreads,Authorities in Japan urged people to avoid hoarding as anxiety over a possible megaquake triggered a spike Saturday in demand for disaster kits and daily necessities.,"August 10, 2024",https://www.ndtv.com/world-news/japanese-urged-to-avoid-panic-buying-after-megaquake-fear-spreads-6307649
Indian Embassy In Japan Issues Advisory After Experts Warn Of 'Megaquake',"The Indian Embassy in Japan issued a mega-quake advisory for Indian citizens residing in Japan on Friday, urging them to prepare for natural disasters after a strong magnitude 7.1 earthquake occurred on Thursday.","August 24, 2024",https://www.ndtv.com/world-news/indian-embassy-in-japan-issues-advisory-after-experts-warn-of-megaquake-6303365
5.3 Magnitude Earthquake Hits Tokyo After Japan Issues Megaquake Alert,"A magnitude-5.3 earthquake hit Tokyo and surrounding areas on Friday evening, the Japan Meteorological Agency said, a day after the government issued a first-ever advisory about the risk of a huge earthquake on the country's Pacific coast.","August 20, 2024",https://www.ndtv.com/world-news/5-3-magnitude-earthquake-hits-tokyo-after-japan-issues-megaquake-alert-6300734
Explainer: Why Did Japan Scientists Issue 'Megaquake' Advisory,"Japan's earthquake scientists say the country should prepare for a possible ""megaquake"" one day that could kill hundreds of thousands of people -- although they stress the warning does not mean a colossal tremor is imminent.","August 19, 2024",https://www.ndtv.com/world-news/japan-to-prepare-for-possible-megaquake-that-could-kill-many-6298154
Japan PM Fumio Kishida Cancels Central Asia Trip Amid Megaquake Warnings,"Japan's Prime Minister Fumio Kishida on Friday cancelled a trip to Central Asia after earthquake scientists warned the country should prepare for a possible ""megaquake"".","August 18, 2024",https://www.ndtv.com/world-news/japan-pm-fumio-kishida-cancels-central-asia-trip-amid-megaquake-warnings-6298093
"Two Days After 'Doomsday Fish' Appears In California, Earthquake Hits Los Angeles",This rare deep-sea fish was discovered just before a 4.4-magnitude earthquake struck Los Angeles. It was transported to NOAA for examination.,"August 18, 2024",https://www.ndtv.com/science/two-days-after-doomsday-fish-appears-in-california-earthquake-hits-los-angeles-6409382
Back-To-Back Earthquakes Of 4.9 Magnitude Hit Kashmir's Baramulla,"Two back-to-back earthquakes measuring 4.9 and 4.8 on the Richter scale occurred in the Kashmir Valley on Tuesday. However, no loss of life or damage to property has been so far reported from anywhere.","August 16, 2024",https://www.ndtv.com/india-news/back-to-back-earthquakes-of-4-9-magnitude-hit-kashmirs-baramulla-6374837
"5.1 Magnitude Earthquake Strikes Off Japan, Tremors Felt In Central Tokyo","An earthquake with a preliminary magnitude of 5.1 struck off the Japanese prefecture of Ibaraki, just northeast of Tokyo, the country's weather agency said.","August 15, 2024",https://www.ndtv.com/world-news/5-1-magnitude-earthquake-strikes-off-japan-tremors-felt-in-central-tokyo-6366679
Shiveluch Volcano Erupts In Russia After 7.0 Magnitude Earthquake,"Russia's Shiveluch volcano in the Kamchatka region erupted after a 7.0 magnitude earthquake that struck off the eastern coast of the country, local media reported on Sunday.","August 15, 2024",https://www.ndtv.com/world-news/shiveluch-volcano-erupts-in-russia-after-7-0-magnitude-earthquake-6362122
"7.0 Magnitude Earthquake Strikes Off Russia, Several Aftershocks Recorded","A magnitude 7.0 earthquake struck off the coast of Russia's far-eastern Kamchatka Peninsula early Sunday morning local time, according to the regional earthquake monitoring service.","August 13, 2024",https://www.ndtv.com/world-news/7-magnitude-earthquake-strikes-off-russia-tsunami-warning-issued-us-monitors-6360655
6.3 Magnitude Earthquake Hits Taiwan: Weather Agency,"A 6.3 magnitude earthquake struck 34 km (21.13 miles) off Taiwan's eastern city of Hualien on Friday, the island's weather administration said, with no immediate reports of damage.","August 13, 2024",https://www.ndtv.com/world-news/6-3-magnitude-earthquake-hits-taiwan-weather-agency-6347168
"""Building Was Swaying"": Taiwan Hit By 5.4 Magnitude Earthquake","A 5.4 magnitude earthquake hit northeastern Taiwan on Thursday, the US Geological Survey (USGS) said, with the tremor shaking buildings in Taipei but causing no major damage.","August 10, 2024",https://www.ndtv.com/world-news/building-was-swaying-taiwan-hit-by-5-4-magnitude-earthquake-6343730
